,0
__exception__,266
accept,267
bind,268
closesocket,269
connect,270
getaddrinfo,271
gethostbyname,272
getsockname,273
ioctlsocket,274
listen,275
recv,276
recvfrom,277
select,278
send,279
sendto,280
setsockopt,281
shutdown,282
socket,283
timeGetTime,284
